n,steps,moves
6,9,"moves = [[""A_1"", ""a_1""], [""A_1""], [""a_2"", ""a_3"", ""a_4"", ""a_5""], [""a_1""], [""A_2"", ""A_3"", ""A_4"", ""A_5""], [""A_2"", ""a_2""], [""A_1"", ""A_2"", ""a_1"", ""a_2""], [""A_1"", ""a_1""], [""A_1"", ""A_6"", ""a_1"", ""a_6""]]"
7,11,"moves = [[""A_1"", ""a_1""], [""A_1""], [""a_2"", ""a_3"", ""a_4"", ""a_5""], [""a_1""], [""A_2"", ""A_3"", ""A_4"", ""A_5""], [""A_2"", ""a_2""], [""A_1"", ""A_2"", ""a_1"", ""a_2""], [""A_1"", ""a_1""], [""A_1"", ""A_6"", ""a_1"", ""a_6""], [""A_1"", ""a_1""], [""A_1"", ""A_7"", ""a_1"", ""a_7""]]"
8,13,"moves = [[""A_1"", ""a_1""], [""A_1""], [""a_2"", ""a_3"", ""a_4"", ""a_5""], [""a_1""], [""A_2"", ""A_3"", ""A_4"", ""A_5""], [""A_2"", ""a_2""], [""A_1"", ""A_2"", ""a_1"", ""a_2""], [""A_1"", ""a_1""], [""A_1"", ""A_6"", ""a_1"", ""a_6""], [""A_1"", ""a_1""], [""A_1"", ""A_7"", ""a_1"", ""a_7""], [""A_1"", ""a_1""], [""A_1"", ""A_8"", ""a_1"", ""a_8""]]"
9,15,"moves = [[""A_1"", ""a_1""], [""A_1""], [""a_2"", ""a_3"", ""a_4"", ""a_5""], [""a_1""], [""A_2"", ""A_3"", ""A_4"", ""A_5""], [""A_2"", ""a_2""], [""A_1"", ""A_2"", ""a_1"", ""a_2""], [""A_1"", ""a_1""], [""A_1"", ""A_6"", ""a_1"", ""a_6""], [""A_1"", ""a_1""], [""A_1"", ""A_7"", ""a_1"", ""a_7""], [""A_1"", ""a_1""], [""A_1"", ""A_8"", ""a_1"", ""a_8""], [""A_1"", ""a_1""], [""A_1"", ""A_9"", ""a_1"", ""a_9""]]"
10,17,"moves = [[""A_1"", ""a_1""], [""A_1""], [""a_2"", ""a_3"", ""a_4"", ""a_5""], [""a_1""], [""A_2"", ""A_3"", ""A_4"", ""A_5""], [""A_2"", ""a_2""], [""A_1"", ""A_2"", ""a_1"", ""a_2""], [""A_1"", ""a_1""], [""A_1"", ""A_6"", ""a_1"", ""a_6""], [""A_1"", ""a_1""], [""A_1"", ""A_7"", ""a_1"", ""a_7""], [""A_1"", ""a_1""], [""A_1"", ""A_8"", ""a_1"", ""a_8""], [""A_1"", ""a_1""], [""A_1"", ""A_9"", ""a_1"", ""a_9""], [""A_1"", ""a_1""], [""A_1"", ""A_10"", ""a_1"", ""a_10""]]"
11,19,"moves = [[""A_1"", ""a_1""], [""A_1""], [""a_2"", ""a_3"", ""a_4"", ""a_5""], [""a_1""], [""A_2"", ""A_3"", ""A_4"", ""A_5""], [""A_2"", ""a_2""], [""A_1"", ""A_2"", ""a_1"", ""a_2""], [""A_1"", ""a_1""], [""A_1"", ""A_6"", ""a_1"", ""a_6""], [""A_1"", ""a_1""], [""A_1"", ""A_7"", ""a_1"", ""a_7""], [""A_1"", ""a_1""], [""A_1"", ""A_8"", ""a_1"", ""a_8""], [""A_1"", ""a_1""], [""A_1"", ""A_9"", ""a_1"", ""a_9""], [""A_1"", ""a_1""], [""A_1"", ""A_10"", ""a_1"", ""a_10""], [""A_1"", ""a_1""], [""A_1"", ""A_11"", ""a_1"", ""a_11""]]"
12,21,"moves = [[""A_1"", ""a_1""], [""A_1""], [""a_2"", ""a_3"", ""a_4"", ""a_5""], [""a_1""], [""A_2"", ""A_3"", ""A_4"", ""A_5""], [""A_2"", ""a_2""], [""A_1"", ""A_2"", ""a_1"", ""a_2""], [""A_1"", ""a_1""], [""A_1"", ""A_6"", ""a_1"", ""a_6""], [""A_1"", ""a_1""], [""A_1"", ""A_7"", ""a_1"", ""a_7""], [""A_1"", ""a_1""], [""A_1"", ""A_8"", ""a_1"", ""a_8""], [""A_1"", ""a_1""], [""A_1"", ""A_9"", ""a_1"", ""a_9""], [""A_1"", ""a_1""], [""A_1"", ""A_10"", ""a_1"", ""a_10""], [""A_1"", ""a_1""], [""A_1"", ""A_11"", ""a_1"", ""a_11""], [""A_1"", ""a_1""], [""A_1"", ""A_12"", ""a_1"", ""a_12""]]"
13,23,"moves = [[""A_1"", ""a_1""], [""A_1""], [""a_2"", ""a_3"", ""a_4"", ""a_5""], [""a_1""], [""A_2"", ""A_3"", ""A_4"", ""A_5""], [""A_2"", ""a_2""], [""A_1"", ""A_2"", ""a_1"", ""a_2""], [""A_1"", ""a_1""], [""A_1"", ""A_6"", ""a_1"", ""a_6""], [""A_1"", ""a_1""], [""A_1"", ""A_7"", ""a_1"", ""a_7""], [""A_1"", ""a_1""], [""A_1"", ""A_8"", ""a_1"", ""a_8""], [""A_1"", ""a_1""], [""A_1"", ""A_9"", ""a_1"", ""a_9""], [""A_1"", ""a_1""], [""A_1"", ""A_10"", ""a_1"", ""a_10""], [""A_1"", ""a_1""], [""A_1"", ""A_11"", ""a_1"", ""a_11""], [""A_1"", ""a_1""], [""A_1"", ""A_12"", ""a_1"", ""a_12""], [""A_1"", ""a_1""], [""A_1"", ""A_13"", ""a_1"", ""a_13""]]"
14,25,"moves = [[""A_1"", ""a_1""], [""A_1""], [""a_2"", ""a_3"", ""a_4"", ""a_5""], [""a_1""], [""A_2"", ""A_3"", ""A_4"", ""A_5""], [""A_2"", ""a_2""], [""A_1"", ""A_2"", ""a_1"", ""a_2""], [""A_1"", ""a_1""], [""A_1"", ""A_6"", ""a_1"", ""a_6""], [""A_1"", ""a_1""], [""A_1"", ""A_7"", ""a_1"", ""a_7""], [""A_1"", ""a_1""], [""A_1"", ""A_8"", ""a_1"", ""a_8""], [""A_1"", ""a_1""], [""A_1"", ""A_9"", ""a_1"", ""a_9""], [""A_1"", ""a_1""], [""A_1"", ""A_10"", ""a_1"", ""a_10""], [""A_1"", ""a_1""], [""A_1"", ""A_11"", ""a_1"", ""a_11""], [""A_1"", ""a_1""], [""A_1"", ""A_12"", ""a_1"", ""a_12""], [""A_1"", ""a_1""], [""A_1"", ""A_13"", ""a_1"", ""a_13""], [""A_1"", ""a_1""], [""A_1"", ""A_14"", ""a_1"", ""a_14""]]"
15,27,"moves = [[""A_1"", ""a_1""], [""A_1""], [""a_2"", ""a_3"", ""a_4"", ""a_5""], [""a_1""], [""A_2"", ""A_3"", ""A_4"", ""A_5""], [""A_2"", ""a_2""], [""A_1"", ""A_2"", ""a_1"", ""a_2""], [""A_1"", ""a_1""], [""A_1"", ""A_6"", ""a_1"", ""a_6""], [""A_1"", ""a_1""], [""A_1"", ""A_7"", ""a_1"", ""a_7""], [""A_1"", ""a_1""], [""A_1"", ""A_8"", ""a_1"", ""a_8""], [""A_1"", ""a_1""], [""A_1"", ""A_9"", ""a_1"", ""a_9""], [""A_1"", ""a_1""], [""A_1"", ""A_10"", ""a_1"", ""a_10""], [""A_1"", ""a_1""], [""A_1"", ""A_11"", ""a_1"", ""a_11""], [""A_1"", ""a_1""], [""A_1"", ""A_12"", ""a_1"", ""a_12""], [""A_1"", ""a_1""], [""A_1"", ""A_13"", ""a_1"", ""a_13""], [""A_1"", ""a_1""], [""A_1"", ""A_14"", ""a_1"", ""a_14""], [""A_1"", ""a_1""], [""A_1"", ""A_15"", ""a_1"", ""a_15""]]"
